Segment,Nombre de Clients,Nombre de Clients Possible,Nombre de Clients Actifs (Mois Précédent),Rapport (%),Mois
Acquisition,39,39,0,0.0,2022-01
Nouveaux Clients,6,15,15,40.0,2022-01
Clients Récents,42,103,39,107.7,2022-01
Anciens Clients,31,88,29,106.9,2022-01
Acquisition,55,55,0,0.0,2022-02
Nouveaux Clients,21,39,39,53.8,2022-02
Clients Récents,38,95,38,100.0,2022-02
Anciens Clients,43,112,41,104.9,2022-02
Acquisition,81,81,0,0.0,2022-03
Nouveaux Clients,23,55,55,41.8,2022-03
Clients Récents,42,98,45,93.3,2022-03
Anciens Clients,51,135,57,89.5,2022-03
Acquisition,42,42,0,0.0,2022-04
Nouveaux Clients,37,81,81,45.7,2022-04
Clients Récents,53,134,60,88.3,2022-04
Anciens Clients,54,171,56,96.4,2022-04
Acquisition,43,43,0,0.0,2022-05
Nouveaux Clients,18,42,42,42.9,2022-05
Clients Récents,69,190,82,84.1,2022-05
Anciens Clients,60,190,62,96.8,2022-05
Acquisition,50,50,0,0.0,2022-06
Nouveaux Clients,17,43,43,39.5,2022-06
Clients Récents,73,217,82,89.0,2022-06
Anciens Clients,61,215,65,93.8,2022-06
Acquisition,48,48,0,0.0,2022-07
Nouveaux Clients,28,50,50,56.0,2022-07
Clients Récents,72,221,73,98.6,2022-07
Anciens Clients,74,230,78,94.9,2022-07
Acquisition,38,38,0,0.0,2022-08
Nouveaux Clients,13,48,48,27.1,2022-08
Clients Récents,63,216,86,73.3,2022-08
Anciens Clients,89,269,88,101.1,2022-08
Acquisition,51,51,0,0.0,2022-09
Nouveaux Clients,16,38,38,42.1,2022-09
Clients Récents,48,183,55,87.3,2022-09
Anciens Clients,106,324,110,96.4,2022-09
Acquisition,40,40,0,0.0,2022-10
Nouveaux Clients,25,51,51,49.0,2022-10
Clients Récents,44,179,57,77.2,2022-10
Anciens Clients,100,405,113,88.5,2022-10
Acquisition,42,42,0,0.0,2022-11
Nouveaux Clients,19,40,40,47.5,2022-11
Clients Récents,49,187,62,79.0,2022-11
Anciens Clients,112,447,107,104.7,2022-11
Acquisition,38,38,0,0.0,2022-12
Nouveaux Clients,10,42,42,23.8,2022-12
Clients Récents,40,177,55,72.7,2022-12
Anciens Clients,107,490,125,85.6,2022-12
Acquisition,26,26,0,0.0,2023-01
Nouveaux Clients,21,38,38,55.3,2023-01
Clients Récents,34,171,41,82.9,2023-01
Anciens Clients,111,540,116,95.7,2023-01
Acquisition,46,46,0,0.0,2023-02
Nouveaux Clients,13,26,26,50.0,2023-02
Clients Récents,41,171,47,87.2,2023-02
Anciens Clients,127,588,119,106.7,2023-02
Acquisition,36,36,0,0.0,2023-03
Nouveaux Clients,19,46,46,41.3,2023-03
Clients Récents,36,146,44,81.8,2023-03
Anciens Clients,130,626,137,94.9,2023-03
Acquisition,21,21,0,0.0,2023-04
Nouveaux Clients,10,36,36,27.8,2023-04
Clients Récents,45,152,47,95.7,2023-04
Anciens Clients,125,677,138,90.6,2023-04
Acquisition,37,37,0,0.0,2023-05
Nouveaux Clients,15,21,21,71.4,2023-05
Clients Récents,39,146,49,79.6,2023-05
Anciens Clients,120,717,131,91.6,2023-05
Acquisition,38,38,0,0.0,2023-06
Nouveaux Clients,14,37,37,37.8,2023-06
Clients Récents,38,129,46,82.6,2023-06
Anciens Clients,118,759,128,92.2,2023-06
Acquisition,24,24,0,0.0,2023-07
Nouveaux Clients,21,38,38,55.3,2023-07
Clients Récents,33,140,44,75.0,2023-07
Anciens Clients,112,797,126,88.9,2023-07
Acquisition,23,23,0,0.0,2023-08
Nouveaux Clients,13,24,24,54.2,2023-08
Clients Récents,36,132,45,80.0,2023-08
Anciens Clients,131,823,121,108.3,2023-08
Acquisition,30,30,0,0.0,2023-09
Nouveaux Clients,10,23,23,43.5,2023-09
Clients Récents,38,120,44,86.4,2023-09
Anciens Clients,141,869,136,103.7,2023-09
Acquisition,17,17,0,0.0,2023-10
Nouveaux Clients,15,30,30,50.0,2023-10
Clients Récents,33,122,38,86.8,2023-10
Anciens Clients,133,905,151,88.1,2023-10
Acquisition,22,22,0,0.0,2023-11
Nouveaux Clients,4,17,17,23.5,2023-11
Clients Récents,36,115,41,87.8,2023-11
Anciens Clients,151,926,140,107.9,2023-11
Acquisition,14,14,0,0.0,2023-12
Nouveaux Clients,9,22,22,40.9,2023-12
Clients Récents,27,94,27,100.0,2023-12
Anciens Clients,144,963,164,87.8,2023-12
Acquisition,24,24,0,0.0,2024-01
Nouveaux Clients,7,14,14,50.0,2024-01
Clients Récents,30,92,31,96.8,2024-01
Anciens Clients,146,1001,149,98.0,2024-01
Acquisition,13,13,0,0.0,2024-02
Nouveaux Clients,10,24,24,41.7,2024-02
Clients Récents,28,83,32,87.5,2024-02
Anciens Clients,137,1025,151,90.7,2024-02
Acquisition,13,13,0,0.0,2024-03
Nouveaux Clients,4,13,13,30.8,2024-03
Clients Récents,21,77,28,75.0,2024-03
Anciens Clients,135,1048,147,91.8,2024-03
