Segment,Nombre de Clients,Nombre de Clients Possible,Nombre de Clients Actifs (Mois Précédent),Rapport (%),Mois
Acquisition,89,89,0,0.0,2022-01
Nouveaux Clients,52,131,131,39.7,2022-01
Clients Récents,10,35,15,66.7,2022-01
Anciens Clients,0,0,0,0.0,2022-01
Acquisition,156,156,0,0.0,2022-02
Nouveaux Clients,31,89,89,34.8,2022-02
Clients Récents,51,166,62,82.3,2022-02
Anciens Clients,0,0,0,0.0,2022-02
Acquisition,121,121,0,0.0,2022-03
Nouveaux Clients,73,156,156,46.8,2022-03
Clients Récents,72,251,82,87.8,2022-03
Anciens Clients,0,0,0,0.0,2022-03
Acquisition,121,121,0,0.0,2022-04
Nouveaux Clients,45,121,121,37.2,2022-04
Clients Récents,96,402,145,66.2,2022-04
Anciens Clients,1,4,0,0.0,2022-04
Acquisition,102,102,0,0.0,2022-05
Nouveaux Clients,39,121,121,32.2,2022-05
Clients Récents,107,497,137,78.1,2022-05
Anciens Clients,4,9,5,80.0,2022-05
Acquisition,101,101,0,0.0,2022-06
Nouveaux Clients,34,102,102,33.3,2022-06
Clients Récents,109,487,124,87.9,2022-06
Anciens Clients,28,35,26,107.7,2022-06
Acquisition,152,152,0,0.0,2022-07
Nouveaux Clients,40,101,101,39.6,2022-07
Clients Récents,119,500,129,92.2,2022-07
Anciens Clients,50,166,42,119.0,2022-07
Acquisition,183,183,0,0.0,2022-08
Nouveaux Clients,66,152,152,43.4,2022-08
Clients Récents,89,445,125,71.2,2022-08
Anciens Clients,77,255,84,91.7,2022-08
Acquisition,131,131,0,0.0,2022-09
Nouveaux Clients,60,183,183,32.8,2022-09
Clients Récents,105,476,133,78.9,2022-09
Anciens Clients,91,411,99,91.9,2022-09
Acquisition,119,119,0,0.0,2022-10
Nouveaux Clients,49,131,131,37.4,2022-10
Clients Récents,117,538,152,77.0,2022-10
Anciens Clients,93,532,104,89.4,2022-10
Acquisition,99,99,0,0.0,2022-11
Nouveaux Clients,48,119,119,40.3,2022-11
Clients Récents,106,567,153,69.3,2022-11
Anciens Clients,87,653,106,82.1,2022-11
Acquisition,59,59,0,0.0,2022-12
Nouveaux Clients,32,99,99,32.3,2022-12
Clients Récents,114,585,141,80.9,2022-12
Anciens Clients,90,755,100,90.0,2022-12
Acquisition,99,99,0,0.0,2023-01
Nouveaux Clients,27,59,59,45.8,2023-01
Clients Récents,119,532,124,96.0,2023-01
Anciens Clients,118,856,112,105.4,2023-01
Acquisition,56,56,0,0.0,2023-02
Nouveaux Clients,40,99,99,40.4,2023-02
Clients Récents,97,408,119,81.5,2023-02
Anciens Clients,144,1008,145,99.3,2023-02
Acquisition,44,44,0,0.0,2023-03
Nouveaux Clients,22,56,56,39.3,2023-03
Clients Récents,87,376,110,79.1,2023-03
Anciens Clients,174,1191,171,101.8,2023-03
Acquisition,50,50,0,0.0,2023-04
Nouveaux Clients,22,44,44,50.0,2023-04
Clients Récents,63,313,82,76.8,2023-04
Anciens Clients,157,1322,201,78.1,2023-04
Acquisition,38,38,0,0.0,2023-05
Nouveaux Clients,21,50,50,42.0,2023-05
Clients Récents,62,258,71,87.3,2023-05
Anciens Clients,148,1441,171,86.5,2023-05
Acquisition,31,31,0,0.0,2023-06
Nouveaux Clients,13,38,38,34.2,2023-06
Clients Récents,54,249,74,73.0,2023-06
Anciens Clients,145,1540,157,92.4,2023-06
Acquisition,55,55,0,0.0,2023-07
Nouveaux Clients,11,31,31,35.5,2023-07
Clients Récents,35,188,49,71.4,2023-07
Anciens Clients,135,1599,163,82.8,2023-07
Acquisition,74,74,0,0.0,2023-08
Nouveaux Clients,15,55,55,27.3,2023-08
Clients Récents,39,163,37,105.4,2023-08
Anciens Clients,160,1698,144,111.1,2023-08
Acquisition,84,84,0,0.0,2023-09
Nouveaux Clients,32,74,74,43.2,2023-09
Clients Récents,35,174,42,83.3,2023-09
Anciens Clients,156,1754,172,90.7,2023-09
Acquisition,68,68,0,0.0,2023-10
Nouveaux Clients,32,84,84,38.1,2023-10
Clients Récents,44,198,55,80.0,2023-10
Anciens Clients,166,1798,168,98.8,2023-10
Acquisition,45,45,0,0.0,2023-11
Nouveaux Clients,26,68,68,38.2,2023-11
Clients Récents,61,244,72,84.7,2023-11
Anciens Clients,173,1848,170,101.8,2023-11
Acquisition,28,28,0,0.0,2023-12
Nouveaux Clients,15,45,45,33.3,2023-12
Clients Récents,61,281,78,78.2,2023-12
Anciens Clients,149,1886,182,81.9,2023-12
Acquisition,52,52,0,0.0,2024-01
Nouveaux Clients,14,28,28,50.0,2024-01
Clients Récents,60,271,72,83.3,2024-01
Anciens Clients,154,1917,153,100.7,2024-01
Acquisition,62,62,0,0.0,2024-02
Nouveaux Clients,22,52,52,42.3,2024-02
Clients Récents,41,225,59,69.5,2024-02
Anciens Clients,159,1972,169,94.1,2024-02
Acquisition,53,53,0,0.0,2024-03
Nouveaux Clients,23,62,62,37.1,2024-03
Clients Récents,40,193,50,80.0,2024-03
Anciens Clients,160,2046,172,93.0,2024-03
